attack_type,mode,blend_ratio,seed,detection_rate,n_sessions
source_copy,fusion,0.3,1,0.0,6
source_copy,scalars,0.3,2,0.0,6
source_copy,freq,0.3,2,0.0,6
source_copy,seq,0.3,2,0.0,6
source_copy,trans,0.3,2,0.0,6
source_copy,ctx,0.3,2,0.0,6
source_copy,fusion,0.3,2,0.0,6
source_copy,scalars,0.3,3,0.0,6
source_copy,freq,0.3,3,0.0,6
source_copy,seq,0.3,3,0.0,6
source_copy,trans,0.3,3,0.0,6
source_copy,ctx,0.3,3,0.0,6
source_copy,fusion,0.3,3,0.0,6
source_copy,scalars,0.3,4,0.0,6
source_copy,freq,0.3,4,0.0,6
source_copy,seq,0.3,4,0.0,6
source_copy,trans,0.3,4,0.0,6
source_copy,ctx,0.3,4,0.0,6
source_copy,fusion,0.3,4,0.0,6
source_copy,scalars,0.5,0,0.0,6
source_copy,freq,0.5,0,0.0,6
source_copy,seq,0.5,0,0.0,6
source_copy,trans,0.5,0,0.0,6
source_copy,ctx,0.5,0,0.0,6
source_copy,fusion,0.5,0,0.0,6
source_copy,scalars,0.5,1,0.0,6
source_copy,freq,0.5,1,0.0,6
source_copy,seq,0.5,1,0.0,6
source_copy,trans,0.5,1,0.0,6
source_copy,ctx,0.5,1,0.0,6
source_copy,fusion,0.5,1,0.0,6
source_copy,scalars,0.5,2,0.0,6
source_copy,freq,0.5,2,0.0,6
source_copy,seq,0.5,2,0.0,6
source_copy,trans,0.5,2,0.0,6
source_copy,ctx,0.5,2,0.0,6
source_copy,fusion,0.5,2,0.0,6
source_copy,scalars,0.5,3,0.0,6
source_copy,freq,0.5,3,0.0,6
source_copy,seq,0.5,3,0.0,6
source_copy,trans,0.5,3,0.0,6
source_copy,ctx,0.5,3,0.0,6
source_copy,fusion,0.5,3,0.0,6
source_copy,scalars,0.5,4,0.0,6
source_copy,freq,0.5,4,0.0,6
source_copy,seq,0.5,4,0.0,6
source_copy,trans,0.5,4,0.0,6
source_copy,ctx,0.5,4,0.0,6
source_copy,fusion,0.5,4,0.0,6
source_copy,scalars,0.7,0,0.0,6
source_copy,freq,0.7,0,1.0,6
source_copy,seq,0.7,0,0.0,6
source_copy,trans,0.7,0,0.0,6
source_copy,ctx,0.7,0,0.0,6
source_copy,fusion,0.7,0,0.0,6
source_copy,scalars,0.7,1,0.0,6
source_copy,freq,0.7,1,1.0,6
source_copy,seq,0.7,1,0.0,6
source_copy,trans,0.7,1,0.0,6
source_copy,ctx,0.7,1,0.0,6
source_copy,fusion,0.7,1,0.0,6
source_copy,scalars,0.7,2,0.0,6
source_copy,freq,0.7,2,1.0,6
source_copy,seq,0.7,2,0.0,6
source_copy,trans,0.7,2,0.0,6
source_copy,ctx,0.7,2,0.0,6
source_copy,fusion,0.7,2,0.0,6
source_copy,scalars,0.7,3,0.0,6
source_copy,freq,0.7,3,1.0,6
source_copy,seq,0.7,3,0.0,6
source_copy,trans,0.7,3,0.0,6
source_copy,ctx,0.7,3,0.0,6
source_copy,fusion,0.7,3,0.0,6
source_copy,scalars,0.7,4,0.0,6
source_copy,freq,0.7,4,1.0,6
source_copy,seq,0.7,4,0.0,6
source_copy,trans,0.7,4,0.0,6
source_copy,ctx,0.7,4,0.0,6
source_copy,fusion,0.7,4,0.0,6
source_copy,scalars,1.0,0,0.0,6
source_copy,freq,1.0,0,1.0,6
source_copy,seq,1.0,0,0.0,6
source_copy,trans,1.0,0,0.0,6
source_copy,ctx,1.0,0,0.0,6
source_copy,fusion,1.0,0,0.0,6
source_copy,scalars,1.0,1,0.0,6
source_copy,freq,1.0,1,1.0,6
source_copy,seq,1.0,1,0.0,6
source_copy,trans,1.0,1,0.0,6
source_copy,ctx,1.0,1,0.0,6
source_copy,fusion,1.0,1,0.0,6
source_copy,scalars,1.0,2,0.0,6
source_copy,freq,1.0,2,1.0,6
source_copy,seq,1.0,2,0.0,6
source_copy,trans,1.0,2,0.0,6
source_copy,ctx,1.0,2,0.0,6
source_copy,fusion,1.0,2,0.0,6
source_copy,scalars,1.0,3,0.0,6
source_copy,freq,1.0,3,1.0,6
source_copy,seq,1.0,3,0.0,6
source_copy,trans,1.0,3,0.0,6
source_copy,ctx,1.0,3,0.0,6
source_copy,fusion,1.0,3,0.0,6
source_copy,scalars,1.0,4,0.0,6
source_copy,freq,1.0,4,1.0,6
source_copy,seq,1.0,4,0.0,6
source_copy,trans,1.0,4,0.0,6
source_copy,ctx,1.0,4,0.0,6
source_copy,fusion,1.0,4,0.0,6
