path,events,duration_s,events_per_sec,file_size_kb,bytes_per_sec,mean_duration_us,p95_duration_us,software
kicad_source_copy_r12.csv,149834,60.9048,2460.1,24532.9,412474.6,416.625,23.0,KiCad
kicad_source_copy_r13.csv,149545,61.1212,2446.7,24485.3,410217.0,418.783,23.0,KiCad
kicad_source_copy_r14.csv,150601,62.8789,2395.1,24657.7,401557.7,428.049,23.0,KiCad
kicad_source_copy_r15.csv,150077,65.1053,2305.1,24578.1,386573.4,445.343,30.0,KiCad
kicad_source_copy_r16.csv,150267,94.4689,1590.7,24621.5,266886.0,644.57,37.0,KiCad
kicad_source_copy_r17.csv,150443,98.5029,1527.3,24649.4,256245.8,670.424,43.0,KiCad
kicad_source_copy_r18.csv,149052,95.3726,1562.8,24416.8,262159.4,653.491,34.0,KiCad
kicad_source_copy_r19.csv,150008,87.1555,1721.2,24570.3,288679.5,594.629,35.0,KiCad
kicad_source_copy_r2.csv,150145,69.0314,2175.0,23862.3,353968.5,472.9,28.0,KiCad
kicad_source_copy_r20.csv,151267,70.1964,2154.9,24792.5,361664.8,483.2,47.0,KiCad
kicad_source_copy_r3.csv,152324,61.811,2464.4,24490.9,405731.7,416.791,24.0,KiCad
kicad_source_copy_r4.csv,149398,62.0372,2408.2,24025.6,396572.2,425.758,26.0,KiCad
kicad_source_copy_r5.csv,150427,60.2956,2494.8,24184.3,410720.9,411.15,23.0,KiCad
kicad_source_copy_r6.csv,150840,60.6418,2487.4,24251.2,409506.0,412.831,23.0,KiCad
kicad_source_copy_r7.csv,148685,59.5539,2496.6,23917.6,411250.3,410.64,23.0,KiCad
kicad_source_copy_r8.csv,150412,63.726,2360.3,24192.5,388744.1,434.446,26.0,KiCad
kicad_source_copy_r9.csv,150048,61.7033,2431.8,24429.2,405415.8,421.907,25.0,KiCad
