chunk_size,mode,K,events_observed,session_accuracy,session_fpr,detection_rate,n_sessions,n_anom_sessions
200,trans,20,4000,0.9166666666666666,0.3333333333333333,1.0,24,18
200,ctx,1,200,0.25,0.0,0.0,24,18
200,ctx,2,400,0.5,0.5,0.5,24,18
200,ctx,3,600,0.3333333333333333,0.0,0.1111111111111111,24,18
200,ctx,5,1000,0.3333333333333333,0.0,0.1111111111111111,24,18
200,ctx,8,1600,0.3333333333333333,0.0,0.1111111111111111,24,18
200,ctx,10,2000,0.3333333333333333,0.0,0.1111111111111111,24,18
200,ctx,15,3000,0.4583333333333333,0.0,0.2777777777777778,24,18
200,ctx,20,4000,0.9166666666666666,0.0,0.8888888888888888,24,18
200,fusion,1,200,0.25,0.0,0.0,24,18
200,fusion,2,400,0.25,0.0,0.0,24,18
200,fusion,3,600,0.25,0.0,0.0,24,18
200,fusion,5,1000,0.4583333333333333,0.0,0.2777777777777778,24,18
200,fusion,8,1600,0.6666666666666666,0.16666666666666666,0.6111111111111112,24,18
200,fusion,10,2000,0.9166666666666666,0.16666666666666666,0.9444444444444444,24,18
200,fusion,15,3000,0.7916666666666666,0.5,0.8888888888888888,24,18
200,fusion,20,4000,0.875,0.5,1.0,24,18
500,scalars,1,500,0.4166666666666667,0.16666666666666666,0.2777777777777778,24,18
500,scalars,2,1000,0.625,0.5,0.6666666666666666,24,18
500,scalars,3,1500,0.7083333333333334,0.16666666666666666,0.6666666666666666,24,18
500,scalars,5,2500,0.875,0.16666666666666666,0.8888888888888888,24,18
500,scalars,8,4000,0.9583333333333334,0.16666666666666666,1.0,24,18
500,scalars,10,5000,1.0,0.0,1.0,24,18
500,scalars,15,7500,1.0,0.0,1.0,24,18
500,scalars,20,10000,1.0,0.0,1.0,24,18
500,freq,1,500,0.25,0.0,0.0,24,18
500,freq,2,1000,0.75,0.6666666666666666,0.8888888888888888,24,18
500,freq,3,1500,0.9166666666666666,0.0,0.8888888888888888,24,18
500,freq,5,2500,0.9583333333333334,0.16666666666666666,1.0,24,18
500,freq,8,4000,1.0,0.0,1.0,24,18
500,freq,10,5000,1.0,0.0,1.0,24,18
500,freq,15,7500,1.0,0.0,1.0,24,18
500,freq,20,10000,1.0,0.0,1.0,24,18
500,seq,1,500,0.5,0.16666666666666666,0.3888888888888889,24,18
500,seq,2,1000,0.75,0.6666666666666666,0.8888888888888888,24,18
500,seq,3,1500,0.875,0.16666666666666666,0.8888888888888888,24,18
500,seq,5,2500,0.875,0.16666666666666666,0.8888888888888888,24,18
500,seq,8,4000,0.9583333333333334,0.16666666666666666,1.0,24,18
500,seq,10,5000,1.0,0.0,1.0,24,18
500,seq,15,7500,0.875,0.0,0.8333333333333334,24,18
500,seq,20,10000,1.0,0.0,1.0,24,18
500,trans,1,500,0.5416666666666666,0.3333333333333333,0.5,24,18
500,trans,2,1000,0.5416666666666666,0.3333333333333333,0.5,24,18
500,trans,3,1500,0.5833333333333334,0.16666666666666666,0.5,24,18
500,trans,5,2500,0.6666666666666666,0.16666666666666666,0.6111111111111112,24,18
500,trans,8,4000,0.9583333333333334,0.16666666666666666,1.0,24,18
500,trans,10,5000,1.0,0.0,1.0,24,18
500,trans,15,7500,1.0,0.0,1.0,24,18
500,trans,20,10000,1.0,0.0,1.0,24,18
