mode,noise_level,seed,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
trans,0.3,1,0.3333333333333333,0.2222222222222222,0.0,1.0,0.0,0.3333333333333333
ctx,0.3,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,1,0.625,0.5630952380952381,0.3333333333333333,1.0,0.16666666666666666,1.0
scalars,0.3,2,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.3,2,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.3,2,0.3333333333333333,0.23214285714285715,0.0,1.0,0.0,0.3333333333333333
trans,0.3,2,0.3333333333333333,0.2222222222222222,0.0,1.0,0.0,0.3333333333333333
ctx,0.3,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,2,0.6666666666666666,0.609577922077922,0.16666666666666666,1.0,0.5,1.0
scalars,0.3,3,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.3,3,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.3,3,0.4583333333333333,0.3472727272727273,0.0,1.0,0.0,0.8333333333333334
trans,0.3,3,0.2916666666666667,0.1748768472906404,0.0,1.0,0.0,0.16666666666666666
ctx,0.3,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,3,0.5416666666666666,0.470734126984127,0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0
scalars,0.3,4,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.3,4,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.3,4,0.2916666666666667,0.1748768472906404,0.0,1.0,0.0,0.16666666666666666
trans,0.3,4,0.2916666666666667,0.2037037037037037,0.0,0.8333333333333334,0.0,0.3333333333333333
ctx,0.3,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,4,0.6666666666666666,0.5764705882352941,0.0,1.0,0.6666666666666666,1.0
scalars,0.5,0,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.5,0,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.5,0,0.375,0.24581939799331104,0.0,1.0,0.0,0.5
trans,0.5,0,0.25,0.10344827586206896,0.0,1.0,0.0,0.0
ctx,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,0,0.3333333333333333,0.23214285714285715,0.0,0.3333333333333333,0.0,1.0
scalars,0.5,1,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.5,1,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.5,1,0.375,0.25636363636363635,0.0,1.0,0.0,0.5
trans,0.5,1,0.25,0.10714285714285714,0.0,1.0,0.0,0.0
ctx,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,1,0.4166666666666667,0.3018181818181818,0.0,0.6666666666666666,0.0,1.0
scalars,0.5,2,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.5,2,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.5,2,0.3333333333333333,0.20735785953177258,0.0,1.0,0.0,0.3333333333333333
trans,0.5,2,0.2916666666666667,0.16964285714285715,0.0,1.0,0.0,0.16666666666666666
ctx,0.5,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,2,0.4166666666666667,0.3153846153846154,0.0,0.6666666666666666,0.0,1.0
scalars,0.5,3,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.5,3,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.5,3,0.25,0.16387959866220736,0.0,0.6666666666666666,0.0,0.3333333333333333
trans,0.5,3,0.20833333333333334,0.08620689655172414,0.0,0.8333333333333334,0.0,0.0
ctx,0.5,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,3,0.375,0.2653846153846154,0.0,0.5,0.0,1.0
scalars,0.5,4,0.25,0.1,0.0,0.0,1.0,0.0
freq,0.5,4,0.25,0.1,0.0,0.0,0.0,1.0
seq,0.5,4,0.375,0.25636363636363635,0.0,1.0,0.0,0.5
trans,0.5,4,0.3333333333333333,0.2153846153846154,0.0,1.0,0.0,0.3333333333333333
ctx,0.5,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,4,0.4166666666666667,0.3153846153846154,0.0,0.6666666666666666,0.0,1.0
