software,config,noise_level,seed,session_accuracy,macro_f1
kicad,fusion_minus_seq,0.3,0,0.375,0.2777777777777778
kicad,fusion_minus_trans,0.3,0,0.4583333333333333,0.3472727272727273
kicad,fusion_minus_ctx,0.3,0,0.25,0.1
kicad,fusion_minus_scalars,0.3,0,0.25,0.1
kicad,fusion_full,0.3,1,0.25,0.1
kicad,fusion_minus_freq,0.3,1,0.25,0.1
kicad,fusion_minus_seq,0.3,1,0.2916666666666667,0.1748768472906404
kicad,fusion_minus_trans,0.3,1,0.5,0.375
kicad,fusion_minus_ctx,0.3,1,0.25,0.1
kicad,fusion_minus_scalars,0.3,1,0.25,0.1
kicad,fusion_full,0.3,2,0.25,0.1
kicad,fusion_minus_freq,0.3,2,0.25,0.1
kicad,fusion_minus_seq,0.3,2,0.375,0.2777777777777778
kicad,fusion_minus_trans,0.3,2,0.4583333333333333,0.3472727272727273
kicad,fusion_minus_ctx,0.3,2,0.25,0.1
kicad,fusion_minus_scalars,0.3,2,0.25,0.1
kicad,fusion_full,0.3,3,0.25,0.1
kicad,fusion_minus_freq,0.3,3,0.25,0.1
kicad,fusion_minus_seq,0.3,3,0.375,0.2777777777777778
kicad,fusion_minus_trans,0.3,3,0.4583333333333333,0.3472727272727273
kicad,fusion_minus_ctx,0.3,3,0.25,0.1
kicad,fusion_minus_scalars,0.3,3,0.25,0.1
kicad,fusion_full,0.3,4,0.25,0.1
kicad,fusion_minus_freq,0.3,4,0.25,0.1
kicad,fusion_minus_seq,0.3,4,0.2916666666666667,0.1748768472906404
kicad,fusion_minus_trans,0.3,4,0.4583333333333333,0.3472727272727273
kicad,fusion_minus_ctx,0.3,4,0.25,0.1
kicad,fusion_minus_scalars,0.3,4,0.25,0.1
