mode,noise_level,seed,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
seq,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,3,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,3,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.3,4,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.3,4,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.3,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.3,4,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,0,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,0,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,0,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,0,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,1,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,1,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,1,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,1,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,2,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,2,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,2,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,2,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,3,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,3,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,3,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,3,0.25,0.1,0.0,1.0,0.0,0.0
scalars,0.5,4,0.25,0.1,1.0,0.0,0.0,0.0
freq,0.5,4,0.25,0.1,1.0,0.0,0.0,0.0
seq,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
trans,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
ctx,0.5,4,1.0,1.0,1.0,1.0,1.0,1.0
fusion,0.5,4,0.25,0.1,0.0,1.0,0.0,0.0
